label,ext_thumb,dirz_thumb,z_thumb,r_thumb,ext_index,dirz_index,z_index,r_index,ext_middle,dirz_middle,z_middle,r_middle,ext_ring,dirz_ring,z_ring,r_ring,ext_pinky,dirz_pinky,z_pinky,r_pinky,theta_index_middle,theta_middle_ring,theta_ring_pinky,theta_thumb_index,delta_index_middle,delta_index_ring,delta_thumb_index,ang_index_PIP,ang_index_DIP
A,0.153135,0.146716,0.568139,0.887338,0.471489,0.156202,0.152911,0.297169,0.507375,0.653165,0.246599,0.14668,0.474004,0.37132,0.196606,0.288046,0.455862,0.820582,0.377028,0.669025,0.555137,0.561575,0.587333,2.615735,0.359974,0.487026,0.920448,1.567006,1.74196
A,0.084962,0.01035,0.277583,0.991391,0.369687,0.533612,0.492724,0.64133,0.38405,0.8542,0.61868,0.572307,0.374642,0.775821,0.603728,0.649712,0.34355,0.930774,0.63597,0.772264,0.463877,0.287442,0.411465,2.548668,0.411026,0.442222,1.290061,1.615207,2.394397
A,0.096442,0.029899,0.318839,0.788714,0.444334,0.352829,0.276784,0.334673,0.489972,0.499218,0.204298,0.192647,0.483623,0.309492,0.2013,0.438993,0.48358,0.527011,0.282873,0.64537,0.249547,0.3296,0.339634,2.655848,0.250895,0.480312,0.799855,1.539409,2.029038
A,0.272089,0.115396,0.645606,0.722352,0.117959,0.005861,0.13362,1.536625,0.059455,-0.100893,-0.148574,1.765697,0.026094,0.015497,0.075068,1.535031,0.08194,0.09322,0.224927,1.110608,0.123262,0.131129,0.090736,0.747674,0.432931,0.471711,1.755691,2.909494,2.621362
B,0.217577,0.433354,1.028717,0.947022,0.089804,0.211184,0.415697,1.556195,0.043675,0.245628,0.360126,1.721509,0.069297,0.336881,0.512642,1.547044,0.084629,0.269373,0.429851,1.169776,0.039047,0.102297,0.091955,0.931817,0.396994,0.618594,1.911907,3.042674,2.543699
B,0.265112,0.134433,0.66347,0.746451,0.112575,-0.018058,0.100793,1.511572,0.050243,-0.080842,-0.117108,1.741291,0.026763,0.064462,0.137111,1.479051,0.065354,0.113765,0.241861,1.085461,0.102391,0.149699,0.064668,0.761938,0.381313,0.47978,1.76332,2.909293,2.671096
B,0.23635,0.292817,0.881558,0.891112,0.120025,0.0554,0.204352,1.499525,0.039823,-0.006908,-0.009733,1.674306,0.027455,0.068758,0.13969,1.464061,0.073657,0.046622,0.183314,1.093296,0.081771,0.078512,0.029225,0.784537,0.379935,0.545114,1.704319,2.889984,2.547765
C,0.07914,0.0978,0.667073,1.927971,0.179535,0.672321,0.868068,1.205818,0.165995,0.772241,1.034793,1.398932,0.142596,0.78379,1.101976,1.479566,0.096611,0.682851,0.905268,1.33724,0.158265,0.108612,0.159602,1.474223,0.439021,0.660336,2.135258,2.639276,2.285594
C,0.085137,-0.000534,0.471243,1.653476,0.204253,0.597202,0.685191,1.019571,0.19143,0.694001,0.762056,1.170781,0.161169,0.687302,0.774989,1.242108,0.106682,0.526664,0.620557,1.185601,0.127152,0.128903,0.252178,1.598464,0.344224,0.555072,1.91208,2.651654,2.228581
A,0.192462,0.050614,0.304418,0.765914,0.388394,0.463055,0.321769,0.41902,0.426695,0.756047,0.381276,0.3388,0.400046,0.642489,0.432551,0.510223,0.359785,0.830655,0.521661,0.67328,0.396382,0.353387,0.3914,2.517732,0.274571,0.404926,0.854388,1.508031,2.327645
A,0.096622,-0.23416,-0.008502,1.069128,0.475039,-0.00151,0.092794,0.333032,0.51416,0.677847,0.238185,0.187517,0.482209,0.470039,0.234667,0.306285,0.416285,0.956042,0.44014,0.637574,0.762047,0.543766,0.841559,2.903212,0.347871,0.475637,1.00334,1.353583,1.910821
A,0.092259,0.034796,0.398261,1.1152,0.477708,0.154762,0.144779,0.334445,0.528243,0.378105,0.133962,0.103513,0.488199,0.371938,0.201607,0.307599,0.441231,0.583034,0.27875,0.585139,0.311895,0.196365,0.359127,2.884558,0.299497,0.52159,0.968568,1.615686,1.855546
A,0.118109,0.102912,0.489153,0.785325,0.46706,0.324807,0.215098,0.314892,0.509783,0.422068,0.172444,0.167798,0.49086,0.293269,0.167721,0.359083,0.468251,0.566079,0.283925,0.637414,0.235154,0.361037,0.308301,2.604501,0.272013,0.500043,0.739364,1.394077,1.942874
B,0.235679,0.555784,1.268427,1.080326,0.125609,0.138575,0.32412,1.538078,0.063258,0.139601,0.198022,1.683689,0.065957,0.251992,0.375616,1.522973,0.101464,0.220664,0.402809,1.172096,0.046839,0.129718,0.042366,0.75515,0.37277,0.527228,1.792358,3.012106,2.412245
B,0.235473,0.275344,0.917347,0.885605,0.113797,0.107964,0.294919,1.611911,0.066948,-0.040887,-0.059984,1.766382,0.031526,0.191083,0.314646,1.582228,0.241807,0.975077,0.811086,0.746114,0.171198,0.233692,1.324996,0.652808,0.44401,0.490895,1.667952,2.915902,2.609172
B,0.307885,0.230652,0.704606,0.651874,0.119851,0.124101,0.271489,1.321183,0.071077,0.061079,0.082274,1.573779,0.06479,0.188653,0.274607,1.342302,0.10759,0.283704,0.40544,1.019841,0.159237,0.142223,0.112841,0.712133,0.36543,0.416902,1.449666,2.996024,2.614806
B,0.255878,0.430468,1.010252,0.879632,0.128838,0.033894,0.18027,1.476063,0.067561,0.01043,0.014546,1.643087,0.039151,0.03251,0.093922,1.481453,0.105381,0.043479,0.184769,1.171326,0.037627,0.022092,0.041495,0.708659,0.41007,0.630339,1.615103,2.946744,2.53846
